0,1,2,3,4
/records-research/record-cfa-actions/2024/05/cfa-meeting,D.C. Department of Buildings,OG 24-163 (HPA 24-192),"Mixed-use, 1805 Wisconsin Avenue, NW.   Demolition of existing building; construction of nine row houses with ground floor retail. Concept.","[['OG 24-163', '/records-research/project-search/og-24-163-2'], ['OG 24-163', '/records-research/project-search/og-24-163-1'], ['OG 24-163', '/records-research/project-search/og-24-163-2']]"
/records-research/record-cfa-actions/2024/04/cfa-meeting,D.C. Department of Buildings,OG 23-257 (HPA 23-406),"Commercial/Mixed-use, 1000 Thomas Jefferson Street, NW.   Modifications and additions to an existing office building for mixed use. Concept.","[['OG 23-257', '/records-research/project-search/og-23-257-5'], ['OG 23-257', '/records-research/project-search/og-23-257-4'], ['OG 23-257', '/records-research/project-search/og-23-257-5'], ['1000 & 1050 TJ Street presentation', '/system/files/meeting-materials/4-OG%2023-257%268-1000%261050%20TJ%20Street%5B4-12%5D_pres.pdf']]"
/records-research/record-cfa-actions/2024/04/cfa-meeting,D.C. Department of Buildings,OG 23-258 (HPA 23-407),"Commercial/Mixed-use, 1050 Thomas Jefferson Street, NW.   Modifications and additions to an existing office building for mixed use. Concept.","[['OG 23-258', '/records-research/project-search/og-23-258-5'], ['OG 23-258', '/records-research/project-search/og-23-258-4'], ['OG 23-258', '/records-research/project-search/og-23-258-5'], ['1000 & 1050 TJ Street presentation', '/system/files/meeting-materials/4-OG%2023-257%268-1000%261050%20TJ%20Street%5B4-12%5D_pres.pdf']]"
/records-research/record-cfa-actions/2023/07/cfa-meeting,D.C. Department of Buildings,OG 23-199 (HPA 23-309),"Commercial, 2900 - 2922 M Street, 1132 29th Street, NW.   New five-story building and alterations to historic rowhouses. Concept.","[['OG 23-199', '/records-research/project-search/og-23-199-2'], ['OG 23-199', '/records-research/project-search/og-23-199-1'], ['OG 23-199', '/records-research/project-search/og-23-199-2'], ['2900 M St NW presentation', '/system/files/meeting-materials/8-OG-23-199-DOB-2900-M-St_pres.pdf']]"
/records-research/record-cfa-actions/2023/04/cfa-meeting,D.C. Department of Buildings,OG 23-163 (HPA 23-264),"Dumbarton Oaks, 1703 32nd Street, NW.   New three-level building - Farrand House. Revised concept.","[['OG 23-163', '/records-research/project-search/og-23-163-0'], ['OG 23-163', '/records-research/project-search/og-23-163'], ['OG 23-163', '/records-research/project-search/og-23-163-0'], ['Dumbarton Oaks presentation', '/system/files/meeting-materials/8-OG%2023-163-DOB-1703-32nd-St_pres-sm.pdf']]"
/records-research/record-cfa-actions/2022/11/cfa-meeting,D.C. Department of Buildings,OG 23-013 (HPA 23-017),"Henle Village, 3700 O Street, NW.   Partial demolition of Henle Village and construction of two new residence buildings. Revised concept.","[['OG 23-013', '/records-research/project-search/og-23-013-0'], ['OG 23-013', '/records-research/project-search/og-23-013'], ['OG 23-013', '/records-research/project-search/og-23-013-0'], ['Henle Village presentation', '/system/files/meeting-materials/OG-23-013-DOB-GU-Henle-Village_pres%2811-8%29.pdf']]"
/records-research/record-cfa-actions/2022/09/cfa-meeting,D.C. Department of Consumer and Regulatory Affairs,OG 22-189 (HPA 22-320),"Georgetown University - Henle Village, 3700 O Street, NW.   Partial demolition of Henle Village and construction of two new residence buildings. Concept.","[['OG 22-189', '/records-research/project-search/og-22-189-1'], ['OG 22-189', '/records-research/project-search/og-22-189-0'], ['OG 22-189', '/records-research/project-search/og-22-189-1'], ['GU Henle Village presentation', '/system/files/meeting-materials/7-OG%2022-289_GU_Henle_Village_pres.pdf']]"
/records-research/record-cfa-actions/2022/06/cfa-meeting,D.C. Department of Consumer and Regulatory Affairs,OG 22-122 (HPA 22-215),"Dumbarton Oaks, 1703 32nd Street, NW.   New two-story building. Concept.","[['OG 22-122', '/records-research/project-search/og-22-122-0'], ['OG 22-122', '/records-research/project-search/og-22-122'], ['OG 22-122', '/records-research/project-search/og-22-122-0'], ['Dumbarton Oaks presentation', '/system/files/meeting-materials/OG%2022-122-DOaks%20%281703%2032nd%20St%20NW%29%20pres%20.pdf']]"
/records-research/record-cfa-actions/2022/05/cfa-meeting,D.C. Department of Consumer and Regulatory Affairs,OG 22-148 (HPA 22-265),"Commercial, 3300 Whitehaven Street, NW.   New six-story residential building. Revised concept.","[['OG 22-148', '/records-research/project-search/og-22-148-0'], ['OG 22-148', '/records-research/project-search/og-22-148'], ['OG 22-148', '/records-research/project-search/og-22-148-0'], ['3300 Whitehaven St presentation', '/system/files/meeting-materials/3_OG%2022-148-3300%20Whitehaven%20St%20NW%20%28pres-sm%29.pdf']]"
/records-research/record-cfa-actions/2022/05/cfa-meeting,D.C. Department of Consumer and Regulatory Affairs,OG 22-154 (HPA 22-271),"West Heating Plant, 1051 - 1055 29th Street, NW.   Construct ten-story plus penthouse building, site work. Permit.","[['OG 22-154', '/records-research/project-search/og-22-154-0'], ['OG 22-154', '/records-research/project-search/og-22-154'], ['West Heating Plant presentation', '/system/files/meeting-materials/OG%2022-154%201055%2029th%20Street%20NW.pdf']]"
