meeting_name_date,meeting_link,meeting_type,date
CFA Meeting — 21 November 2024,/records-research/record-cfa-actions/2024/11/cfa-meeting,CFA Meeting,2024-11-21
OGB Meeting — 7 November 2024,/records-research/record-cfa-actions/2024/11/ogb-meeting,OGB Meeting,2024-11-07
CFA Meeting — 17 October 2024,/records-research/record-cfa-actions/2024/10/cfa-meeting,CFA Meeting,2024-10-17
OGB Meeting — 2 October 2024,/records-research/record-cfa-actions/2024/10/ogb-meeting,OGB Meeting,2024-10-02
CFA Meeting — 19 September 2024,/records-research/record-cfa-actions/2024/09/cfa-meeting,CFA Meeting,2024-09-19
OGB Meeting — 5 September 2024,/records-research/record-cfa-actions/2024/09/ogb-meeting,OGB Meeting,2024-09-05
CFA Meeting — 18 July 2024,/records-research/record-cfa-actions/2024/07/cfa-meeting,CFA Meeting,2024-07-18
OGB Meeting — 3 July 2024,/records-research/record-cfa-actions/2024/07/ogb-meeting,OGB Meeting,2024-07-03
CFA Meeting — 20 June 2024,/records-research/record-cfa-actions/2024/06/cfa-meeting,CFA Meeting,2024-06-20
OGB Meeting — 6 June 2024,/records-research/record-cfa-actions/2024/06/ogb-meeting,OGB Meeting,2024-06-06
CFA Meeting — 16 May 2024,/records-research/record-cfa-actions/2024/05/cfa-meeting,CFA Meeting,2024-05-16
OGB Meeting — 2 May 2024,/records-research/record-cfa-actions/2024/05/ogb-meeting,OGB Meeting,2024-05-02
CFA Meeting — 18 April 2024,/records-research/record-cfa-actions/2024/04/cfa-meeting,CFA Meeting,2024-04-18
OGB Meeting — 4 April 2024,/records-research/record-cfa-actions/2024/04/ogb-meeting,OGB Meeting,2024-04-04
CFA Meeting — 21 March 2024,/records-research/record-cfa-actions/2024/03/cfa-meeting,CFA Meeting,2024-03-21
OGB Meeting — 7 March 2024,/records-research/record-cfa-actions/2024/03/ogb-meeting,OGB Meeting,2024-03-07
CFA Meeting — 15 February 2024,/records-research/record-cfa-actions/2024/02/cfa-meeting,CFA Meeting,2024-02-15
OGB Meeting — 1 February 2024,/records-research/record-cfa-actions/2024/02/ogb-meeting,OGB Meeting,2024-02-01
