0,1,2,3,4,5,6
TBD (HPA TBD),"Washington Canoe Club, 3700 Water Street, NW.   Stabilization and repair of existing boat house. Concept.",,,,,"['/system/files/meeting-materials/CFA%20TBD%20%203700%20Water%20St%20NW.pdf', '/system/files/meeting-materials/CFA%20TBD%20%203700%20Water%20St%20NW_HSR.pdf']"
TBD (HPA TBD),"Institution - Jelleff Recreation Center, 3265 S Street, NW.   Demolition of existing structure and construction of new two-story recreation building. Concept.",,,,,['/system/files/meeting-materials/CFA%20TBD%203265%20S%20Street%2C%20NW.pdf']
OG 25-011 (HPA 25-12),"Institution, 3001 R Street, NW.   Oak Hill Cemetery Gatehouse landscape alterations. Concept.",,,,,['/system/files/meeting-materials/OG%2025-011%203001%20R%20Street%2C%20NW.pdf']
OG 25-037 (HPA 25-038),"Georgetown University - Shaw Field, 3700 O Street, NW.   Shaw Field lights. Concept.",/records-research/project-search/og-25-037-0,OG 25-037,,,['/system/files/meeting-materials/OG%2025-037%203700%20O%20Street%2C%20NW.pdf']
OG 25-027 (HPA 25-028),"Commercial, 1660 33rd Street, NW.   Signage - The Lobby. Concept.",,,,,['/system/files/meeting-materials/OG%2025-027%201660%2033rd%20Street%2C%20NW.pdf']
OG 25-022 (HPA 25-023),"Residence, 1032, 1034, & 1036 33rd Street, NW.   Rear addition and fencing. Concept.",,,,,['/system/files/meeting-materials/OG%2025-022%201032-36%2033rd%20Street%2C%20NW.pdf']
OG 25-031 (HPA 25-032),"Residence, 2915 - 2917 Dumbarton Street, NW.   Rear addition and renovation. Concept.",,,,,['/system/files/meeting-materials/OG%2025-031%202915-17%20Dumbarton%20Street%2C%20NW.pdf']
OG 24-255 (HPA 24-320),"Residence, 3306 O Street, NW.   New accessory structure with living space and garages. Concept.",/records-research/project-search/og-24-255-2,OG 24-255,,,['/system/files/meeting-materials/OG%2024-255%20%203306%20O%20Street%20NW.pdf']
OG 24-293 (HPA 24-370),"Residence, 3246 S Street, NW.   Third story addition, renovation, landscape alterations. Concept.",/records-research/project-search/og-24-293-3,OG 24-293,,,['/system/files/meeting-materials/OG%2024-293%203246%20S%20Street%2C%20NW.pdf']
OG 25-026 (HPA 25-027),"Residence, 1559 33rd Street, NW.   Rear one-story addition. Concept.",,,,,['/system/files/meeting-materials/OG%2025-026%201559%2033rd%20Street%2C%20NW.pdf']
OG 25-035 (HPA 25-036),"Residence, 3315 P Street, NW.   Rear addition and renovation. Revised concept.",,,/records-research/project-search/og-24-252-0,OG 24-252,['/system/files/meeting-materials/OG%2025-035%203315%20P%20Street%2C%20NW.pdf']
OG 24-365 (HPA 24-466),"Residence, 3326 N Street, NW.   Remove rear porch and replace with two-story addition; remove and replace fence segment. Concept.",,,,,['/system/files/meeting-materials/OG%2024-365%203326%20N%20Street%2C%20NW.pdf']
OG 24-355 (HPA 24-456),"Residence, 2900 - 2902 Dumbarton Street, NW.   Convert cellar into apartment unit with projections into public space. Concept.",,,,,['/system/files/meeting-materials/OG%2024-355%202900-02%20Dumbarton%20Street%2C%20NW.pdf']
OG 25-033 (HPA 25-034),"Residential, 3114 R Street, NW.   Landscape alterations and stair revision. Concept.",/records-research/project-search/og-25-033-0,OG 25-033,,,['/system/files/meeting-materials/OG%2025-033%203114%20R%20Street%2C%20NW.pdf']
OG 25-023 (HPA 25-024),"Commercial, 1048 29th Street, NW.   Rooftop addition and renovation. Revised concept.",/records-research/project-search/og-25-023-0,OG 25-023,/records-research/project-search/og-24-180-1,OG 24-180,[]
OG 24-264 (HPA 24-341),"Commercial, 1077 31st Street, NW.   Window and door replacement. Permit.",,,,,[]
OG 25-018 (HPA 25-019),"Commercial, 3299 M Street, NW.   Storefront alterations. Concept.",,,,,['/system/files/meeting-materials/OG%2025-018%203299%20M%20Street%2C%20NW.pdf']
OG 25-006 (HPA 25-007),"Private, 1680 Wisconsin Ave, NW.   Install security cameras and bars over some windows, replace front door. Concept.",,,,,['/system/files/meeting-materials/OG%2025-006%201680%20Wisconsin%20Avenue%2C%20NW.pdf']
OG 25-024 (HPA 25-025),"Residential, 1217 29th Street, NW.   Front stoop and areaway expansion and railing and door replacement. Concept.",/records-research/project-search/og-25-024-0,OG 25-024,,,['/system/files/meeting-materials/OG%2025-025%201217%2029th%20Street%2C%20NW.pdf']
OG 25-014 (HPA 25-015),"Commercial, 3110 M Street, NW.   Signage - Kiehl's. Permit.",,,,,['/system/files/meeting-materials/OG%2025-014%203110%20M%20Street%2C%20NW.pdf']
CFA TBD (HPA TBD),"Public right of way, C&O Canal at the West Heating Plant.   New pedestrian bridge. Concept.",,,,,[]
OG 24-191 (HPA 24-231),"Commercial, 3000 M Street, NW.   Construction of a six-story mixed-use building. Revised concept.",/records-research/project-search/og-24-191-3,OG 24-191,,,[]
OG 24-293 (HPA 24-370),"Residence, 3246 S Street, NW.   Third story addition, renovation, landscape alterations. Concept.",,,,,[]
OG 24-324 (HPA 24-412),"Residence, 3233 Reservoir Road, NW.   Construction of new garage on property of Scott-Grant House - bldg 6. Concept.",/records-research/project-search/og-24-324-1,OG 24-324,,,[]
OG 24-364 (HPA 24-465),"Residence, 3306 R Street, NW.   Addition. Permit.",/records-research/project-search/og-24-364-0,OG 24-364,/records-research/project-search/og-24-259-1,OG 24-259,[]
OG 24-355 (HPA 24-456),"Residence, 2900 - 2902 Dumbarton Street, NW.   Convert crawlspace into apartment unit with projections into public space. Concept.",,,,,[]
OG 24-365 (HPA 24-466),"Residence, 3326 N Street, NW.   Remove rear porch and replace with two-story addition; remove and replace fence segments. Concept.",,,,,[]
OG 24-354 (HPA 24-455),"Residence, 2812 N Street, NW.   Replace existing shutters and shutter dogs; new rooftop condensers. Permit.",,,,,[]
OG 24-356 (HPA 24-457),"Residence, 3017 O Street, NW.   Replace stair treads, risers, and railing; install window railings; lantern replacement. Concept.",/records-research/project-search/og-24-356-0,OG 24-356,,,[]
OG 24-358 (HPA 24-459),"Residence, 3125 P Street, NW.   Replace existing 5' tall fence with 7' tall wood privacy fence in side and rear yards. Permit.",,,,,[]
OG 24-352 (HPA 24-453),"Residence, 2737 O Street, NW.   Replace doors, entry surround, add shutters. Permit.",,,,,[]
OG 24-197 (HPA 24-247),"Residence, 1063 Thomas Jefferson Street, NW.   Window replacement. Permit.",,,,,[]
OG 24-342 (HPA 24-443),"Commercial, 1023-31 31st Street, NW.   Signage - Canal House. Concept.",,,,,[]
OG 24-369 (HPA 24-470),"MedStar University Hospital, 3800 Reservoir Road, NW.   Free-standing signs. Revised concept.",/records-research/project-search/og-24-369-0,OG 24-369,,,[]
OG 24-361 (HPA 24-462),"Commercial, 3233 - 3235 M Street, NW.   New storefront, signage, entrances, and painting; roof terrace alteration. Concept.",,,,,[]
OG 24-348 (HPA HP 24-449),"Commercial, 1815 Wisconsin Avenue, NW.   Painting; replace window and enlarge opening; various other facade alterations. Concept.",,,,,[]
OG 24-307 (HPA 24-395),"Mixed-use, 1517 Wisconsin Avenue, NW.   Awnings, retroactive approval - Generation Tux. Permit.",/records-research/project-search/og-24-307-0,OG 24-307,,,[]
OG 24-166 (HPA N/A),"Public space, Curb lane of M Street and Wisconsin Avenue, NW.   Sidewalk extensions and outdoor dining in public space - progress report. Information presentation.",,,,,[]
CFA TBD (HPA TBD),"Public right of way, C&O Canal at the West Heating Plant.   New pedestrian bridge. Concept.",,,,,[]
TBD (HPA TBD),"Institution - Jelleff Recreation Center, 3265 S Street, NW.   Demolition of existing structure and construction of new two-story recreation building. Concept.",,,,,[]
OG 24-191 (HPA 24-231),"Commercial, 3000 M Street, NW.   Construction of a six-story mixed-use building. Revised concept.",/records-research/project-search/og-24-191-3,OG 24-191,,,[]
OG 24-324 (HPA 24-412),"Residence, 3233 Reservoir Road, NW.   Construction of new garage on property of Scott-Grant House - bldg 6. Concept.",/records-research/project-search/og-24-324-1,OG 24-324,,,[]
OG 24-293 (HPA 24-370),"Residence, 3246 S Street, NW.   Third story addition, renovation, landscape alterations. Concept.",,,,,[]
OG 24-332 (HPA 24-420),"Residence, 3327 Q Street, NW.   Rear addition - modifications to previously approved design. Concept.",,,,,[]
OG 24-288 (HPA 24-365),"Georgetown University, 3700 O Street, NW.   Campus building signage and wayfinding. Permit.",/records-research/project-search/og-24-288-1,OG 24-288,,,[]
OG 24-339 (HPA 24-427),"Residence, 3323 Prospect Street, NW.   Alterations to front steps and stoop. Concept.",,,,,[]
OG 24-317 (HPA 24-405),"Residence, 2724 Poplar Street, NW.   Installation of rooftop solar array. Concept.",,,,,[]
OG 24-299 (HPA 24-387),"Commercial, 1066 Wisconsin Avenue, NW.   Rooftop mechanical and screening, signage, outdoor terrace. Concept.",,,,,[]
TBD (HPA TBD),"Institution - Jelleff Recreation Center, 3265 S Street, NW.   Demolition of existing structure and construction of new two-story recreation building. Concept.",,,,,[]
OG 24-191 (HPA 24-231),"Commercial, 3000 M Street, NW.   Construction of a six-story mixed-use building. Permit.",,,,,[]
OG 24-293 (HPA 24-370),"Residence, 3246 S Street, NW.   Third story addition, renovation, landscape alterations. Concept.",,,,,[]
OG 24-255 (HPA 24-320),"Residence, 3306 O Street, NW.   New accessory structure with living space and garages. Concept.",/records-research/project-search/og-24-255-2,OG 24-255,,,[]
OG 24-164 (HPA 24-193),"Residence (Montrose Walk), 3008-3044 R Street, NW .   Door and window replacement on the front and rear. Concept.",,,,,[]
OG 24-259 (HPA 24-324),"Residence, 3306 R Street, NW.   Addition. Concept.",/records-research/project-search/og-24-259-1,OG 24-259,,,[]
OG 24-233 (HPA 24-298),"Residence, 1511 30th Street, NW.   Solar panels. Permit.",,,,,[]
OG 24-231 (HPA 24-296),"Residence, 1324 29th Street, NW.   Rooftop solar panels. Permit.",,,,,[]
OG 24-294 (HPA 24-371),"Residence, 3259 O Street, NW.   Addition and renovation; alterations to roof line. Concept.",,,,,[]
OG 24-180 (HPA 24-218),"Commercial, 1048 29th Street, NW.   Rooftop addition and renovation. Concept.",/records-research/project-search/og-24-180-1,OG 24-180,,,[]
OG 24-274 (HPA 24-351),"Commercial, 1715 Wisconsin Avenue, NW.   Fenestration alterations, signage for Blinds To Go. Concept.",,,,,[]
OG 24-271 (HPA 24-348),"Mixed-use, 1258 Wisconsin Avenue, NW.   Convert storefront window to recessed entry door. Concept.",/records-research/project-search/og-24-271-0,OG 24-271,,,[]
OG 24-288 (HPA 24-365),"Georgetown University, 3700 O Street, NW.   Campus building signage and wayfinding. Permit.",/records-research/project-search/og-24-288-1,OG 24-288,,,[]
OG 24-242 (HPA 24-307),"Residence, 3009 N Street, NW.   Roof replacement and fenestration alterations. Permit.",/records-research/project-search/og-24-242-0,OG 24-242,,,[]
OG 24-166 (HPA N/A),"Public space, Curb lane of M Street and Wisconsin Avenue, NW.   Sidewalk extensions and outdoor dining in public space - progress report. Information presentation.",,,,,[]
OG 24-184 (HPA 24-224),"Commercial, 3071 Canal Street, NW.   Rear addition. Concept.",/records-research/project-search/og-24-184-1,OG 24-184,,,[]
OG 24-227 (HPA 24-292),"Commercial, 3249 M Street, NW.   Demolition, alterations, and signage - Raising Cane's. Concept.",,,,,[]
OG 24-164 (HPA 24-193),"Residence (Montrose Walk), 3008-3044 R Street, NW .   Door and window replacement on the front and rear. Concept.",,,,,[]
OG 24-255 (HPA 24-320),"Residence, 3306 O Street, NW.   New accessory structure with living space and garages. Concept.",/records-research/project-search/og-24-255-2,OG 24-255,,,[]
