project_number,project_link,hpa_number,location,property,description,review_type,recommendation,meeting_link,previous_review,cfa_action,submitted_documents,owner,,superseded_by
OG 24-240,/records-research/project-search/og-24-240-0,HPA 24-305,"2728 O Street, NW
United States",Residence,Rear addition,Concept,"No objection to concept design for a rear two-story addition, per supplemental materials received 28 October 2024, PROVIDED option B is further developed for permit and proposed materials are compatible with the historic district. File permit submission at DOB with detailed and dimensioned drawings for review by the Commission.
",/records-research/record-cfa-actions/old-georgetown-board/consent-calendar/45542,,,,,,
OG 24-288,/records-research/project-search/og-24-288-2,HPA 24-365,"3700 O Street, NW
United States",Georgetown University,Campus building signage and wayfinding,Concept,"No objection to concept design for building signage and wayfinding program, per supplemental materials received 16 October 2024, PROVIDED street addresses are removed from signs if the building otherwise has street numbers displayed and the applicant study using the ADA symbol in lieu of text on ADA signs. File permit submission at DOB with detailed and dimensioned drawings for review by the Commission.
",/records-research/record-cfa-actions/old-georgetown-board/consent-calendar/45542,"('/records-research/project-search/og-24-288-1', 'OG 24-288')",,,,,
OG 24-340,/records-research/project-search/og-24-340,HPA 24-440,"2709 O Street, NW
United States",Residence,Fence,Permit,"No objection to issuance of permit to replace segment of wood fence and gate along north and east property lines with a six-foot tall wood fence, per supplemental materials received 16 October 2024, PROVIDED the finished side of the fence faces public way and all rails are on the interior face of the fence.  Note:  Any subsequent modifications to the approved design, including those made during DOB technical review, must be resubmitted to the Commission for approval prior to the issuance of a permit.
",/records-research/record-cfa-actions/old-georgetown-board/consent-calendar/45542,,,,,,
OG 24-348,/records-research/project-search/og-24-348-0,HPA 24-449,"1815 Wisconsin Avenue, NW
United States",Commercial,Repaint; replace window and enlarge opening; other facade alterations,Concept,"No objection to concept design to repaint; replace window and enlarge opening; replace sconces; and install lockbox and access reader per supplemental materials received 17 October 2024. File permit submission at DOB with detailed and dimensioned drawings for review by the Commission.
",/records-research/record-cfa-actions/old-georgetown-board/consent-calendar/45542,,,,,,
OG 24-354,/records-research/project-search/og-24-354-0,HPA 24-455,"2812 N Street, NW
United States",Residence,Replace existing shutters and shutter dogs; new rooftop condensers,Concept,"No objection to concept design for alterations to the front and rear of this property, known as the Decatur-Gunther or Morsell House, per supplemental materials received 4 November 2024. Scope of work includes replacement of existing non-historic shutters; restoration and in-kind replacement of shutter dogs and hardware; and construction of a new platform at the rear for roof-mounted condensers. Materials indicate the new panel shutters on the front first floor would replicate the “ABAB” pattern as seen in HABS documentation; the basement shutters would have a single panel; the second-floor shutters would be louvered; the rear shutters on the second floor would be part louver, part panel; and the largest HVAC condensers would be 3.25’ tall and screened by wood latticework. File permit submission at DOB with detailed and dimensioned drawings for review by the Commission.
",/records-research/record-cfa-actions/old-georgetown-board/consent-calendar/45542,,,,,,
OG 24-361,/records-research/project-search/og-24-361-0,HPA 24-462,"3233 - 3235 M Street, NW
United States",Commercial,"New storefront, signage, entrances, and painting; roof terrace alterations",Concept,"No objection to concept design for new storefront, signage, entrances, and painting and roof terrace alterations, per supplemental materials received __ November 2024, PROVIDED the signage is installed into mortar and not brick. File permit submission at DOB with detailed and dimensioned drawings for review by the Commission.
",/records-research/record-cfa-actions/old-georgetown-board/consent-calendar/45542,,,,,,
OG 24-362,/records-research/project-search/og-24-362,HPA 24-463,"3248 Jones Court, NW
United States",Commercial,"Replacement windows, doors, and skylight",Permit,"No objection to issuance of permit for restoration of a non-contributing fire-damaged property, per supplemental materials received 24 October 2024. Scope of work includes in-kind replacement of roof structure, exterior sliding doors, and skylight; replacement of 17 existing wood casement windows with aluminum-clad casement windows of the same model and profile (Anderson 400s); and a new 51"" tall rooftop heat pump unit.  Note:  Any subsequent modifications to the approved design, including those made during DOB technical review, must be resubmitted to the Commission for approval prior to the issuance of a permit.
",/records-research/record-cfa-actions/old-georgetown-board/consent-calendar/45542,,,,,,
OG 25-001,/records-research/project-search/og-25-001,HPA 25-002,"1025 and 1027 31st Street, NW
United States",Commercial,Add shutters,Permit,"No objection to issuance of permit to install operable wood shutters on the windows of the front elevation of 1027 31st Street, NW per supplemental materials received __ November 2024, which indicate shutters will not be installed on the front of 1025 31st Street, NW.  Note:  Any subsequent modifications to the approved design, including those made during DOB technical review, must be resubmitted to the Commission for approval prior to the issuance of a permit.
",/records-research/record-cfa-actions/old-georgetown-board/consent-calendar/45542,,,,,,
OG 25-002,/records-research/project-search/og-25-002,HPA 25-003,"1239 Wisconsin Avenue, NW
United States",Commercial,Signage - Huckberry,Concept,"No objection to concept design for 12-inch sign reading, ""Huckberry"" and 16"" x 4"" door decal for store hours, per materials received 18 October 2024 PROVIDED the tree logo is removed from the sign. File permit at DOB with detailed and dimensioned drawings for review by the Commission.",/records-research/record-cfa-actions/old-georgetown-board/consent-calendar/45542,,,,,,
OG 25-003,/records-research/project-search/og-25-003,HPA 25-004,"1423 36th Street, NW
United States",Residence,Construction of accessory structure in rear yard,Permit,"No objection to issuance of permit for a new rear accessory structure, per supplemental materials received 28 October 2024, which indicate that the new shed/studio would be 16’-2” tall and be faced with vertically oriented 2x6 nickel-gap siding of black locust wood in ""marine finish""; and the roof would be a snap-lock standing seam in ""hemlock green"" color.  Note:  Any subsequent modifications to the approved design, including those made during DOB technical review, must be resubmitted to the Commission for approval prior to the issuance of a permit.
",/records-research/record-cfa-actions/old-georgetown-board/consent-calendar/45542,"('/records-research/project-search/og-24-304-0', 'OG 24-304')",,,,,
