project_number,project_link,hpa_number,location,property,description,review_type,recommendation,meeting_link,previous_review,cfa_action
OG 25-008,/records-research/project-search/og-25-008,HPA 25-009,"2801 Dumbarton Street, NW
United States",Residence,Rooftop solar panels,Permit,"Recommend AGAINST issuance of permit. Rooftop solar panels as shown in supplemental drawings received 1 November 2024 and mock-up completed on 30 October 2024 would be visible from 28th Street, NW and are incompatible with the historic district.
",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/45542,,
OG 24-363,/records-research/project-search/og-24-363,HPA 24-464,"3277 M Street, NW
United States",Commercial,Signage - Billy Hicks,Permit,"Recommend AGAINST issuance of permit for new signage for Billy Hicks, per materials received 12 September 2024. Design is incompatible with the historic district and does comply with the Old Georgetown Board design guidelines for commercial signs or previously approved permit application. File new permit submission at DOB with detailed and dimensioned drawings for review by the Commission.
",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/45541,"('/records-research/project-search/og-24-330-0', 'OG 24-330')",
OG 24-265,/records-research/project-search/og-24-265,HPA 24-342,"1614 A Wisconsin Avenue, NW
United States",Commercial,Signage - The Gallery,Concept,"Recommend AGAINST issuance of permit for signage due to insufficient documentation. File submission at DOB with detailed and dimensioned drawings for review by the Commission.
",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/45540,,
OG 24-330,/records-research/project-search/og-24-330,HPA 24-418,"3277 M Street, NW
United States",Commercial,Signage - Billy Hicks,Permit,"Recommend AGAINST issuance of permit for new signage for Billy Hicks, per materials received 15 August 2024. Design is incompatible with the historic district and does comply with the Old Georgetown Board design guidelines for commercial signs or previously approved permit application. File new permit submission at DOB with detailed and dimensioned drawings for review by the Commission.
",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/45540,,
OG 24-341,/records-research/project-search/og-24-341,HPA 24-441,"3057 M Street, NW
United States",Commercial,Signage and awnings - Farm Rio,Revised permit,"Recommend AGAINST issuance of revised permit for alterations to storefront awnings, per materials received 26 August 2024, as the proposed multi-color floral print is incompatible with the historic district.
",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/45540,"('/records-research/project-search/og-24-268-0', 'OG 24-268')",
OG 24-079,/records-research/project-search/og-24-079,HPA 24-085,"1529 Wisconsin Avenue, NW
United States",Commercial,Window replacement - existing alterations without review,Permit,"Recommend AGAINST issuance of permit for inappropriate vinyl windows installed without review, approval, or permits.  Submitted materials are insufficient for review, and application has been inactive for an extended period of time.  File new submission at DOB with detailed and dimensioned drawings for review by the Commission.
",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/45539,,
OG 24-087,/records-research/project-search/og-24-087-1,HPA 24-105,"1525 Wisconsin Avenue, NW
United States",Commercial,"Enclose second-floor deck, relocate mechanical equipment for Jinya",Permit,"Recommend AGAINST issuance of permit for enclosure of second-floor deck and installation of inappropriate rooftop mechanical equipment.  Application has been inactive for an extended period of time.  File new submission at DOB with detailed and dimensioned drawings for review by the Commission.
",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/45539,,
OG 24-267,/records-research/project-search/og-24-267,HPA 24-344,"3009 N Street, NW
United States",Residence,"Roof replacement, fenestration alterations",Permit,"Recommend AGAINST issuance of permit. Application for roof replacement and fenestration alterations is a duplicate submission. Please reference OG 24-242 / HPA 24-307 for the Commission's recommendation.
",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/45539,,
OG 24-082,/records-research/project-search/og-24-082,HPA 24-100,"1623 35th Street, NW
United States",Residence,Installation of 16 solar panels and associated equipment,Permit,"Recommend AGAINST issuance of permit for rooftop solar panels and associated permit, per materials received 12 January 2024. Application has been inactive for an extended period of time and the submitted documentation is insufficient for review. File new permit submission at DOB with detailed and dimensioned drawings for review by the Commission.
",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/45538,,
OG 24-224,/records-research/project-search/og-24-224,HPA 24-289,"1501 33rd Street, NW
United States",Residence,Roof replacement,Permit,"Recommend AGAINST issuance of permit for replacement of standing-seam metal roof with asphalt shingles.  Submitted materials are insufficient for review, and proposed work may be incompatible with historic district.
",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/45538,,
