project_number,project_link,hpa_number,location,property,description,review_type,submitted_documents,meeting_link,recommendation,previous_review,owner,district_of_columbia,superseded_by,cfa_action,og_19-047,
OG 24-303,/records-research/project-search/og-24-303,HPA 24-391,"1403 Wisconsin Avenue, NW
United States",Commercial,Signage - CVS,Permit,"('/system/files/meeting-materials/OG%2024-303%201403%20Wisconsin%20Avenue%2C%20NW.pdf', '1403 Wisconsin Avenue, NW\n')",/records-research/record-cfa-actions/old-georgetown-board/other-submissions/45542,,,,,,,,
OG 24-342,/records-research/project-search/og-24-342-0,HPA 24-443,"1023-29 31st Street, NW
United States",Commercial,Signage - Canal House,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/45542,"Returned without action. Concept application for signage was withdrawn at the written request of the applicant on 22 October 2024.
",,,,,,,
OG 25-005,/records-research/project-search/og-25-005,HPA 25-006,"1613 35th Street, NW
United States",Residence,Window replacement,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/45542,"Permit application for window replacement was withdrawn by applicant on 23 October 2024.
",,,,,,,
OG 25-017,/records-research/project-search/og-25-017,HPA 25-018,"3252 O Street, NW
United States",Residence,Roof replacement,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/45542,"Returned without action. Concept application for replacement roofing was withdrawn at the written request of the applicant on 4 November 2024.
",,,,,,,
OG 25-029,/records-research/project-search/og-25-029,HPA 25-030,"2819 P Street, NW
United States",Residence,"Underpin, renovation, and new exterior stair",Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/45542,"Returned without action. Concept application for alterations to accessory structure was withdrawn at the written request of the applicant on 29 October 2024.
",,,,,,,
OG 24-275,/records-research/project-search/og-24-275,HPA 24-352,"2449 P Street, NW
United States",Residence,"Rear addition, new garage",Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/45541,"Returned without action. Permit application for a rear addition, alterations, and new garage was withdrawn at the written request of the applicant on 23 September 2024.
","('/records-research/project-search/og-24-004-2', 'OG 24-004')",,,,,,
OG 24-359,/records-research/project-search/og-24-359,HPA 24-460,"3213 M Street, NW
United States",Commercial,Painting,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/45541,"Returned without action. Permit application for repainting front facade in the same color as existing is a repair. Refer to Historic Preservation Review Board.
",,,,,,,
OG 24-368,/records-research/project-search/og-24-368,HPA 24-469,"3551 Winfield Lane, NW
United States",Residence,Window replacement,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/45541,"Returned without action. The proposed replacement windows would not be visible from a public way, per materials received 13 September 2024 and site visit on 18 September 2024. Refer to Historic Preservation Review Board.  Note:  Any subsequent modifications to the approved design, including those made during DOB technical review, must be resubmitted to the Commission for approval prior to the issuance of a permit.
",,,,,,,
OG 24-164,/records-research/project-search/og-24-164-1,HPA 24-193,"3008-3044 R Street, NW 
United States",Residence (Montrose Walk),Door and window replacement on the front,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/45540,"Returned without action. Concept application for replacement windows and doors on the front elevation was superseded by permit application OG 24-318/HPA 24-406.
",,,,,,,
OG 24-227,/records-research/project-search/og-24-227-0,HPA 24-292,"3249 M Street, NW
United States",Commercial,"Demolition, alterations, and signage - Raising Cane's",Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/45540,"Returned without action. Concept application for demolition and alterations was withdrawn at the written request of the applicant on 19 August 2024.
",,,,,,,
OG 24-229,/records-research/project-search/og-24-229,HPA 24-294,"3418 Dent Place, NW
United States",Residence,Move electric meter to front facade,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/45540,"Returned without action. Application for an electric meter on the front facade was withdrawn by the applicant on 12 July 2024.
",,,,,,,
OG 24-232,/records-research/project-search/og-24-232-0,HPA 24-297,"3419 Reservoir Road, NW
United States",Residence,Relocate electric meter to front facade,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/45540,"Returned without action. Application for an electrical meter on the front facade was withdrawn at the written request of the applicant on 12 July 2024.
",,,,,,,
OG 24-311,/records-research/project-search/og-24-311,HPA 24-399,"1632 30th Street, NW
United States",Residence,Replacement of patio doors at basement level,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/45540,"Returned without action. The proposed replacement patio doors at the basement level at the alley would not be visible from a public way, per materials received 15 August 2024 and site visit on 21 August 2024. Refer to Historic Preservation Review Board.
",,,,,,,
OG 24-328,/records-research/project-search/og-24-328,HPA 24-416,"3259 O Street, NW
United States",Residence,Rear addition,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/45540,"Returned without action. Concept application for a rear addition was withdrawn at the request of the applicant.
",,,,,,,
OG 24-270,/records-research/project-search/og-24-270,HPA 24-347,"3324 Reservoir Road, NW
United States",Residence,"Addition, fenestration alterations, new garage",Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/45539,"Returned without action.  Concept application was withdrawn at the written request of the applicant due to duplication.  See OG 24-260, HPA 24-324 for active concept application.
",,,,,,,
OG 24-282,/records-research/project-search/og-24-282,HPA 24-359,"3221 Volta Place, NW
United States",Residence,Replace two windows on east elevation,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/45539,"Returned without action. The proposed replacement windows at the basement level on the east elevation would not be visible from public way, per materials received 14 June 2024. Refer to Historic Preservation Review Board.
",,,,,,,
OG 24-061,/records-research/project-search/og-24-061-0,HPA 24-067,"1044 Wisconsin Avenue, NW
United States",Commercial,"Trash enclosure, deck, lighting",Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/45538,"Returned without action.  Concept application for trash enclosure, deck, and lighting has been inactive for an extended period of time.  File new concept submission at DOB with detailed and dimensioned drawings for review by the Commission.
",,,,,,,
OG 24-086,/records-research/project-search/og-24-086-1,HPA 24-104,"3000 K Street, NW
United States",Commercial,New outdoor seating area,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/45538,"Returned without action.  Concept application was superseded by permit application OG 24-226, HPA 24-291.
",,,,,,,
OG 24-223,/records-research/project-search/og-24-223,HPA 24-288,"1318 34th Street, NW
United States",Residence,Addition,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/45538,"Returned without action. Concept application for rear addition and alterations is a duplicate of concept application filed under OG 24-193 / HPA 24-233.
",,,,,,,
OG 24-251,/records-research/project-search/og-24-251,HPA 24-316,"2809 O Street, NW
United States",Residence,"Addition, fenestration alterations, window and door replacements",Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/45538,"Returned without action.  Submission materials and a site visit on 21 May 2024 indicate proposed addition and alterations would not be visible from a public thoroughfare.  Refer to Historic Preservation Review Board.
",,,,,,,
OG 24-059,/records-research/project-search/og-24-059-0,HPA 24-065,"3300 M Street, NW
United States",Commercial,"Storefront alterations, signage for Skims",Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/45537,"Returned without action.  Concept application has been inactive for an extended period of time.  Permit application (OG 24-126, HPA 24-263) submitted for review.
",,,,,,,
OG 24-101,/records-research/project-search/og-24-101-1,HPA 24-120,"1029 31st Street, NW
United States",Commercial,"Addition, alterations in connection with adjacent hotel development",Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/45537,"Returned without action.  Concept application for addition at the rear was withdrawn at the written request of the applicant.
",,,,,,,
OG 24-203,/records-research/project-search/og-24-203,HPA 24-253,"2711 O Street, NW
United States",Residence,Replacement paving for existing driveway,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/45537,"Returned without action. Permit application is a duplicate of OG 24-139 and was withdrawn at the written request of the applicant on 23 April 2024.
",,,,,,,
OG 23-273,/records-research/project-search/og-23-273-0,HPA 23-422,"Georgetown Historic District - Various locations
United States",Commercial,Comprehensive plan for BID street furniture and treebox treatment,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/45536,"Return without action. Concept application for street furnishings and sidewalk tree boxes was withdrawn at the written request of the applicant.
",,,,,,,
OG 24-074,/records-research/project-search/og-24-074,HPA 24-080,"1614A Wisconsin Avenue, NW
United States",Commercial,New signage - Drip Gallery,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/45536,"Returned without action. Submitted materials are insufficient for review and the concept application for signage has been inactive for an extended period of time. File new submission with detailed and dimensioned drawings for review by the Commission.
",,,,,,,
OG 24-097,/records-research/project-search/og-24-097-0,HPA 24-116,"1410 26th Street, NW
United States",Residence,Window replacements,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/45536,"Returned without action. Permit application for window replacement was withdrawn at the written request of the applicant, received 22 March 2024.
",,,,,,,
OG 24-168,/records-research/project-search/og-24-168,HPA 24-204,"1510 33rd Street, NW
United States",Residence,Window replacement,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/45536,"Returned without action.  Permit application for window replacements was withdrawn by the applicant.
",,,,,,,
